,city,lat,lon,country,date,maxtemp,humidity,clouds,wind
296,Olenegorsk,68.14,33.28,RU,1556913516,25.07,85,100,8.34
297,Canala,-21.52,165.96,NC,1556911800,64.4,82,90,2.24
298,Monroe,41.91,-83.4,US,1556913503,53.01,100,90,6.93
299,Yatou,3.63,9.81,CM,1556913517,84.83,78,99,16.4
300,Aykhal,65.95,111.51,RU,1556910000,21.2,79,0,6.71
301,Sainte-Maxime,43.31,6.64,FR,1556913476,63.0,51,0,4.7
302,Encheng,22.74,107.09,CN,1556913518,65.75,94,100,1.9
303,Comodoro Rivadavia,-45.87,-67.48,AR,1556910000,48.2,57,20,4.7
304,Unterhaching,48.07,11.61,DE,1556913428,50.0,87,71,4.7
305,Belaya Gora,68.54,146.19,RU,1556913519,27.95,88,100,3.29
306,Loanda,-22.93,-53.14,BR,1556913519,76.01,89,100,4.72
307,Lima,-12.06,-77.04,PE,1556913130,71.6,68,90,10.29
308,Nakusp,50.24,-117.8,CA,1556913305,57.99,40,78,8.99
309,Tabuk,17.41,121.44,PH,1556913520,62.33,93,49,2.53
310,Santa Cruz,36.97,-122.03,US,1556913239,79.0,15,1,4.7
311,Namatanai,-3.66,152.44,PG,1556912956,77.63,89,100,11.32
312,Rio Grande,-32.03,-52.1,BR,1556910000,77.0,88,75,4.7
313,Livani,56.35,26.18,LV,1556913523,32.09,74,0,1.9
314,Vao,59.1,26.19,EE,1556913046,31.19,73,28,9.93
315,Tawang,27.59,91.87,BT,1556913524,50.99,77,98,3.42
316,Carauari,-4.88,-66.9,BR,1556913524,82.13,86,93,2.39
317,Chiautla,19.53,-98.88,MX,1556913182,80.6,19,40,6.93
318,Colares,38.8,-9.45,PT,1556913390,71.6,59,0,17.22
319,Oktyabrskiy,55.61,37.97,RU,1556912422,52.0,76,0,6.71
320,College,64.86,-147.8,US,1556913508,39.0,69,90,8.05
321,Suntar,62.16,117.65,RU,1556913526,27.41,84,0,5.23
322,Wewak,-3.55,143.63,PG,1556913526,76.73,87,100,4.05
323,Saveh,35.02,50.36,IR,1556913526,64.67,41,68,4.47
324,Ermelo,52.3,5.62,NL,1556913483,46.0,81,90,3.36
325,Balkanabat,39.51,54.36,TM,1556913527,82.13,23,71,6.13
326,Bafq,31.6,55.4,IR,1556913528,67.91,21,0,1.03
327,Quatre Cocos,-20.21,57.76,MU,1556912940,77.0,69,40,10.29
328,Nuevo Progreso,26.05,-97.95,US,1556913326,89.6,46,1,17.22
329,Aswan,24.09,32.9,EG,1556910000,91.4,15,0,11.41
330,Emba,34.81,32.42,CY,1556912831,64.4,87,20,6.93
331,Methana,37.58,23.39,GR,1556913343,66.0,68,20,4.7
332,Istra,55.91,36.86,RU,1556912422,52.0,93,0,8.95
333,Belousovka,50.13,82.52,KZ,1556910000,33.8,86,53,2.24
334,Sibiti,-3.69,13.35,CG,1556913533,74.03,99,100,1.99
335,Nabire,-3.36,135.5,ID,1556913533,68.99,99,100,0.92
336,Rawlins,41.79,-107.24,US,1556912100,53.6,27,1,19.46
337,Great Yarmouth,52.61,1.73,GB,1556913433,43.0,87,20,4.7
338,Kruisfontein,-34.0,24.73,ZA,1556912954,54.59,82,65,7.63
339,Ambilobe,-13.19,49.05,MG,1556913535,74.93,74,22,9.19
340,Saquarema,-22.93,-42.51,BR,1556910000,84.2,83,20,18.34
341,Salinopolis,-0.61,-47.36,BR,1556913301,82.67,80,34,14.94
342,Half Moon Bay,37.46,-122.43,US,1556912910,75.99,52,40,14.99
343,Chokurdakh,70.62,147.9,RU,1556912972,25.61,90,100,9.19
344,Sorata,-15.77,-68.65,BO,1556913536,47.39,57,0,4.83
345,Kloulklubed,7.04,134.26,PW,1556913000,78.8,83,90,3.36
346,Salinas,36.67,-121.66,US,1556913513,79.0,31,1,8.05
347,Komsomolskiy,67.55,63.78,RU,1556912948,30.11,91,96,12.53
